Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 19:53:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoxLCJ0b2tlbl9pZCI6Ii14NmVkUXNuVzJFZzdFREw0di1GWUFYdy0yQ1RoTHdPa1pUMzVfT0VpV0kifQ.QXCZhRnPdzl_rCoaxgtXhzZqdAmsDgn_lQwtr0Xn-2Y&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyLCJ0b2tlbl9pZCI6Im1ONUMtcnZwUGk1NlpTLThPY0R1aXc0cG1CYzhITUhLMXNHcEtfLU96eGsifQ.lBxxZmvPy1EVkrsd8Q5vOnSBTvSab3HznKgZDmrbMBU&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:53:08] "POST /auth/register/v2 HTTP/1.1" 200 -
